"BGC_A","BGC_B","Jaccard"
"Acet2but","Acet2but",1
"Acet2but","Arg2Hcarb",0
"Arg2Hcarb","Arg2Hcarb",1
"Acet2but","Caf_respir",0
"Arg2Hcarb","Caf_respir",0.0106382978723404
"Caf_respir","Caf_respir",1
"Acet2but","Caf_respir,FA-unasgd",0
"Arg2Hcarb","Caf_respir,FA-unasgd",0.103092783505155
"Caf_respir","Caf_respir,FA-unasgd",0
"Caf_respir,FA-unasgd","Caf_respir,FA-unasgd",1
"Acet2but","FA-Unasgd",0
"Arg2Hcarb","FA-Unasgd",0.35
"Caf_respir","FA-Unasgd",0.024390243902439
"Caf_respir,FA-unasgd","FA-Unasgd",0
"FA-Unasgd","FA-Unasgd",1
"Acet2but","FA-unasgd,caf_respir",0
"Arg2Hcarb","FA-unasgd,caf_respir",0.0315789473684211
"Caf_respir","FA-unasgd,caf_respir",0
"Caf_respir,FA-unasgd","FA-unasgd,caf_respir",0
"FA-Unasgd","FA-unasgd,caf_respir",0
"FA-unasgd,caf_respir","FA-unasgd,caf_respir",1
"Acet2but","FA-unasgd,GR_FA,Pyr2acet-form",0
"Arg2Hcarb","FA-unasgd,GR_FA,Pyr2acet-form",0.0106382978723404
"Caf_respir","FA-unasgd,GR_FA,Pyr2acet-form",0
"Caf_respir,FA-unasgd","FA-unasgd,GR_FA,Pyr2acet-form",0
"FA-Unasgd","FA-unasgd,GR_FA,Pyr2acet-form",0
"FA-unasgd,caf_respir","FA-unasgd,GR_FA,Pyr2acet-form",0
"FA-unasgd,GR_FA,Pyr2acet-form","FA-unasgd,GR_FA,Pyr2acet-form",1
"Acet2but","Fum2succin",0.00980392156862745
"Arg2Hcarb","Fum2succin",0.902912621359223
"Caf_respir","Fum2succin",0.00980392156862745
"Caf_respir,FA-unasgd","Fum2succin",0.127450980392157
"FA-Unasgd","Fum2succin",0.361904761904762
"FA-unasgd,caf_respir","Fum2succin",0.0392156862745098
"FA-unasgd,GR_FA,Pyr2acet-form","Fum2succin",0.00980392156862745
"Fum2succin","Fum2succin",1
"Acet2but","GR_FA,caf_respir,FA-unasgd,Pyr2acet-form",0
"Arg2Hcarb","GR_FA,caf_respir,FA-unasgd,Pyr2acet-form",0.127659574468085
"Caf_respir","GR_FA,caf_respir,FA-unasgd,Pyr2acet-form",0
"Caf_respir,FA-unasgd","GR_FA,caf_respir,FA-unasgd,Pyr2acet-form",0
"FA-Unasgd","GR_FA,caf_respir,FA-unasgd,Pyr2acet-form",0
"FA-unasgd,caf_respir","GR_FA,caf_respir,FA-unasgd,Pyr2acet-form",0
"FA-unasgd,GR_FA,Pyr2acet-form","GR_FA,caf_respir,FA-unasgd,Pyr2acet-form",0
"Fum2succin","GR_FA,caf_respir,FA-unasgd,Pyr2acet-form",0.117647058823529
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","GR_FA,caf_respir,FA-unasgd,Pyr2acet-form",1
"Acet2but","GR_FA,FA-unasgd,Pyr2acet-form",0
"Arg2Hcarb","GR_FA,FA-unasgd,Pyr2acet-form",0.159574468085106
"Caf_respir","GR_FA,FA-unasgd,Pyr2acet-form",0
"Caf_respir,FA-unasgd","GR_FA,FA-unasgd,Pyr2acet-form",0
"FA-Unasgd","GR_FA,FA-unasgd,Pyr2acet-form",0
"FA-unasgd,caf_respir","GR_FA,FA-unasgd,Pyr2acet-form",0
"FA-unasgd,GR_FA,Pyr2acet-form","GR_FA,FA-unasgd,Pyr2acet-form",0
"Fum2succin","GR_FA,FA-unasgd,Pyr2acet-form",0.147058823529412
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","GR_FA,FA-unasgd,Pyr2acet-form",0
"GR_FA,FA-unasgd,Pyr2acet-form","GR_FA,FA-unasgd,Pyr2acet-form",1
"Acet2but","GR_FA,Pyr2acet-form,FA-unasgd",0
"Arg2Hcarb","GR_FA,Pyr2acet-form,FA-unasgd",0.117021276595745
"Caf_respir","GR_FA,Pyr2acet-form,FA-unasgd",0
"Caf_respir,FA-unasgd","GR_FA,Pyr2acet-form,FA-unasgd",0
"FA-Unasgd","GR_FA,Pyr2acet-form,FA-unasgd",0
"FA-unasgd,caf_respir","GR_FA,Pyr2acet-form,FA-unasgd",0
"FA-unasgd,GR_FA,Pyr2acet-form","GR_FA,Pyr2acet-form,FA-unasgd",0
"Fum2succin","GR_FA,Pyr2acet-form,FA-unasgd",0.107843137254902
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","GR_FA,Pyr2acet-form,FA-unasgd",0
"GR_FA,FA-unasgd,Pyr2acet-form","GR_FA,Pyr2acet-form,FA-unasgd",0
"GR_FA,Pyr2acet-form,FA-unasgd","GR_FA,Pyr2acet-form,FA-unasgd",1
"Acet2but","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0
"Arg2Hcarb","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0.0638297872340425
"Caf_respir","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0
"Caf_respir,FA-unasgd","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0
"FA-Unasgd","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0
"FA-unasgd,caf_respir","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0
"FA-unasgd,GR_FA,Pyr2acet-form","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0
"Fum2succin","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0.0588235294117647
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0
"GR_FA,FA-unasgd,Pyr2acet-form","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0
"GR_FA,Pyr2acet-form,FA-unasgd","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",0
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","GR_FA,Pyr2acet-form,FA-unasgd,caf_respir",1
"Acet2but","Nit_reduct",0
"Arg2Hcarb","Nit_reduct",0.821782178217822
"Caf_respir","Nit_reduct",0.0111111111111111
"Caf_respir,FA-unasgd","Nit_reduct",0.10752688172043
"FA-Unasgd","Nit_reduct",0.31
"FA-unasgd,caf_respir","Nit_reduct",0.0444444444444444
"FA-unasgd,GR_FA,Pyr2acet-form","Nit_reduct",0.0111111111111111
"Fum2succin","Nit_reduct",0.846153846153846
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","Nit_reduct",0.133333333333333
"GR_FA,FA-unasgd,Pyr2acet-form","Nit_reduct",0.166666666666667
"GR_FA,Pyr2acet-form,FA-unasgd","Nit_reduct",0.122222222222222
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","Nit_reduct",0.0666666666666667
"Nit_reduct","Nit_reduct",1
"Acet2but","Others_HGD_unasgd",0
"Arg2Hcarb","Others_HGD_unasgd",0.0106382978723404
"Caf_respir","Others_HGD_unasgd",0
"Caf_respir,FA-unasgd","Others_HGD_unasgd",0.0769230769230769
"FA-Unasgd","Others_HGD_unasgd",0
"FA-unasgd,caf_respir","Others_HGD_unasgd",0
"FA-unasgd,GR_FA,Pyr2acet-form","Others_HGD_unasgd",0
"Fum2succin","Others_HGD_unasgd",0.00980392156862745
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","Others_HGD_unasgd",0
"GR_FA,FA-unasgd,Pyr2acet-form","Others_HGD_unasgd",0
"GR_FA,Pyr2acet-form,FA-unasgd","Others_HGD_unasgd",0
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","Others_HGD_unasgd",0
"Nit_reduct","Others_HGD_unasgd",0.0111111111111111
"Others_HGD_unasgd","Others_HGD_unasgd",1
"Acet2but","Oxid_gly",0
"Arg2Hcarb","Oxid_gly",0.0106382978723404
"Caf_respir","Oxid_gly",0
"Caf_respir,FA-unasgd","Oxid_gly",0.0769230769230769
"FA-Unasgd","Oxid_gly",0
"FA-unasgd,caf_respir","Oxid_gly",0
"FA-unasgd,GR_FA,Pyr2acet-form","Oxid_gly",0
"Fum2succin","Oxid_gly",0.00980392156862745
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","Oxid_gly",0
"GR_FA,FA-unasgd,Pyr2acet-form","Oxid_gly",0
"GR_FA,Pyr2acet-form,FA-unasgd","Oxid_gly",0
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","Oxid_gly",0
"Nit_reduct","Oxid_gly",0.0111111111111111
"Others_HGD_unasgd","Oxid_gly",1
"Oxid_gly","Oxid_gly",1
"Acet2but","Pyr2acet-form",0.0166666666666667
"Arg2Hcarb","Pyr2acet-form",0.466666666666667
"Caf_respir","Pyr2acet-form",0.0166666666666667
"Caf_respir,FA-unasgd","Pyr2acet-form",0.216666666666667
"FA-Unasgd","Pyr2acet-form",0.683333333333333
"FA-unasgd,caf_respir","Pyr2acet-form",0.0666666666666667
"FA-unasgd,GR_FA,Pyr2acet-form","Pyr2acet-form",0
"Fum2succin","Pyr2acet-form",0.542857142857143
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","Pyr2acet-form",0
"GR_FA,FA-unasgd,Pyr2acet-form","Pyr2acet-form",0
"GR_FA,Pyr2acet-form,FA-unasgd","Pyr2acet-form",0
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","Pyr2acet-form",0
"Nit_reduct","Pyr2acet-form",0.428571428571429
"Others_HGD_unasgd","Pyr2acet-form",0.0166666666666667
"Oxid_gly","Pyr2acet-form",0.0166666666666667
"Pyr2acet-form","Pyr2acet-form",1
"Acet2but","Succin2prop,Putr2sper",1
"Arg2Hcarb","Succin2prop,Putr2sper",0
"Caf_respir","Succin2prop,Putr2sper",0
"Caf_respir,FA-unasgd","Succin2prop,Putr2sper",0
"FA-Unasgd","Succin2prop,Putr2sper",0
"FA-unasgd,caf_respir","Succin2prop,Putr2sper",0
"FA-unasgd,GR_FA,Pyr2acet-form","Succin2prop,Putr2sper",0
"Fum2succin","Succin2prop,Putr2sper",0.00980392156862745
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","Succin2prop,Putr2sper",0
"GR_FA,FA-unasgd,Pyr2acet-form","Succin2prop,Putr2sper",0
"GR_FA,Pyr2acet-form,FA-unasgd","Succin2prop,Putr2sper",0
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","Succin2prop,Putr2sper",0
"Nit_reduct","Succin2prop,Putr2sper",0
"Others_HGD_unasgd","Succin2prop,Putr2sper",0
"Oxid_gly","Succin2prop,Putr2sper",0
"Pyr2acet-form","Succin2prop,Putr2sper",0.0166666666666667
"Succin2prop,Putr2sper","Succin2prop,Putr2sper",1
"Acet2but","TPP_AA_metab",0.0119047619047619
"Arg2Hcarb","TPP_AA_metab",0.728155339805825
"Caf_respir","TPP_AA_metab",0.0119047619047619
"Caf_respir,FA-unasgd","TPP_AA_metab",0.114942528735632
"FA-Unasgd","TPP_AA_metab",0.288659793814433
"FA-unasgd,caf_respir","TPP_AA_metab",0.0352941176470588
"FA-unasgd,GR_FA,Pyr2acet-form","TPP_AA_metab",0.0119047619047619
"Fum2succin","TPP_AA_metab",0.771428571428571
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","TPP_AA_metab",0.103448275862069
"GR_FA,FA-unasgd,Pyr2acet-form","TPP_AA_metab",0.178571428571429
"GR_FA,Pyr2acet-form,FA-unasgd","TPP_AA_metab",0.117647058823529
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","TPP_AA_metab",0.0714285714285714
"Nit_reduct","TPP_AA_metab",0.74
"Others_HGD_unasgd","TPP_AA_metab",0
"Oxid_gly","TPP_AA_metab",0
"Pyr2acet-form","TPP_AA_metab",0.411764705882353
"Succin2prop,Putr2sper","TPP_AA_metab",0.0119047619047619
"TPP_AA_metab","TPP_AA_metab",1
"Acet2but","TPP_FA",0
"Arg2Hcarb","TPP_FA",0.74
"Caf_respir","TPP_FA",0
"Caf_respir,FA-unasgd","TPP_FA",0.107142857142857
"FA-Unasgd","TPP_FA",0.301075268817204
"FA-unasgd,caf_respir","TPP_FA",0.037037037037037
"FA-unasgd,GR_FA,Pyr2acet-form","TPP_FA",0.0125
"Fum2succin","TPP_FA",0.75
"GR_FA,caf_respir,FA-unasgd,Pyr2acet-form","TPP_FA",0.108433734939759
"GR_FA,FA-unasgd,Pyr2acet-form","TPP_FA",0.17283950617284
"GR_FA,Pyr2acet-form,FA-unasgd","TPP_FA",0.109756097560976
"GR_FA,Pyr2acet-form,FA-unasgd,caf_respir","TPP_FA",0.075
"Nit_reduct","TPP_FA",0.683168316831683
"Others_HGD_unasgd","TPP_FA",0.0125
"Oxid_gly","TPP_FA",0.0125
"Pyr2acet-form","TPP_FA",0.414141414141414
"Succin2prop,Putr2sper","TPP_FA",0
"TPP_AA_metab","TPP_FA",0.656565656565657
"TPP_FA","TPP_FA",1
