"Sample","NIS","CC","Genome_size","fitted_prob","fitted_class"
"CA-1",1,"CC1",0.208381593860764,0.999999999853884,1
"CA-10",1,"CC1",-0.42391501599294,0.999999999411596,1
"CA-101",1,"CC15",-1.15713549793902,0.999999997254382,1
"CA-104",1,"CC5",0.124713341196073,0.92099311070144,1
"CA-105",1,"CC1",-0.196890675544961,0.999999999643171,1
"CA-107",1,"UD",-0.825225561259081,0.999999998752796,1
"CA-108",1,"CC8",-0.497541793187181,0.896520207582457,1
"CA-11",1,"UD",-0.59585087791856,0.999999999247559,1
"CA-112",1,"CC1",-0.697558197641784,0.999999998924782,1
"CA-115",1,"CC1",-0.23121655612805,0.99999999961514,1
"CA-117",1,"CC121",-0.15097372433514,0.967059276166919,1
"CA-118",1,"CC121",-0.764158660594703,0.8837714178438,1
"CA-119",1,"CC97",-0.564517915571925,0.999999998511245,1
"CA-12",1,"CC15",-0.11596078242279,0.99999999972302,1
"CA-127",1,"CC121",-0.205056325299913,0.96304504606486,1
"CA-128",1,"CC1",-0.0400726343067028,0.99999999974741,1
"CA-129",1,"CC22",-0.277810682892611,0.999999999498988,1
"CA-13",1,"CC1",-0.308708671160289,0.999999999543494,1
"CA-130",1,"CC5",-0.111734613814749,0.873801588491808,1
"CA-131",1,"CC8",-0.534037601277791,0.888819622107422,1
"CA-132",1,"CC1",-0.638846582757209,0.99999999905524,1
"CA-138",1,"CC8",-0.228913170664486,0.93996762209402,1
"CA-14",1,"CC1",-0.690655455581984,0.99999999894101,1
"CA-140",1,"CC22",0.00347420246153318,0.999999999730402,1
"CA-141",1,"CC8",-0.0158030578558471,0.961597197415645,1
"CA-142",1,"CC121",-0.625270942895239,0.911704260517854,1
"CA-143",1,"CC22",-0.509014234519653,0.999999999166198,1
"CA-146",1,"CC1",-0.821555467467887,0.999999998587018,1
"CA-148",1,"CC8",-0.684432360520553,0.851625204079815,1
"CA-15",1,"CC5",2.27779054604428,0.999253502385094,1
"CA-150",1,"UD",-0.396405376942586,0.999999999515109,1
"CA-151",1,"CC1",0.0585058377803931,0.999999999796719,1
"CA-152",1,"UD",-0.236300315675852,0.999999999659234,1
"CA-153",1,"UD",-0.191208826638595,0.999999999691459,1
"CA-154",1,"CC1",-0.352996941017655,0.999999999496706,1
"CA-155",1,"CC22",-0.0144487067463696,0.999999999719544,1
"CA-156",1,"UD",-0.337404603153251,0.999999999574213,1
"CA-158",1,"CC1",-0.720438822772336,0.999999998869193,1
"CA-16",1,"CC121",0.102072446097673,0.980867280435772,1
"CA-162",1,"CC1",-0.634501784854907,0.99999999906424,1
"CA-163",1,"CC5",0.0461066050865089,0.907437336528173,1
"CA-164",1,"CC121",0.209975675002394,0.984854035303117,1
"CA-165",1,"CC5",0.14214937600878,0.923743438578076,1
"CA-167",1,"CC1",0.0447547254206618,0.999999999790466,1
"CA-168",1,"CC15",-0.295637205798927,0.999999999588507,1
"CA-17",1,"CC97",-0.134741282570453,0.999999999422416,1
"CA-177",1,"CC15",-0.573509027499442,0.999999999241023,1
"CA-18",1,"CC121",-0.299700259127359,0.954864053582535,1
"CA-185",1,"CC97",-0.127554324493153,0.99999999943149,1
"CA-186",1,"CC30",-0.584202964088327,0.999999999007597,1
"CA-187",1,"UD",-0.688171654733398,0.999999999077843,1
"CA-19",1,"CC1",-0.150192748147923,0.999999999678057,1
"CA-190",1,"UD",-0.580535341740764,0.999999999272524,1
"CA-198",1,"CC121",-0.659473251296806,0.905447370630399,1
"CA-2",1,"CC15",0.283310821848243,0.999999999885072,1
"CA-20",1,"CC1",0.0606658795133919,0.999999999797684,1
"CA-200",1,"CC121",-0.682662806881162,0.900981991972539,1
"CA-21",1,"UD",-0.103541778179862,0.999999999745649,1
"CA-22",1,"CC1",-0.270729996891419,0.999999999580136,1
"CA-23",1,"CC1",-0.316234217014958,0.999999999535862,1
"CA-24",1,"CC30",0.0826197132825315,0.999999999771611,1
"CA-25",1,"CC5",0.0232927089339784,0.903128305018476,1
"CA-26",1,"CC5",-0.0201354985399968,0.894428865130242,1
"CA-27",1,"CC97",0.32298490644759,0.9999999997893,1
"CA-28",1,"CC1",-0.0109614997838281,0.999999999763101,1
"CA-29",1,"CC97",0.269732710542642,0.999999999763072,1
"CA-3",1,"CC1",2.88384289598641,0.999999999999597,1
"CA-30",1,"CC121",0.367705678940282,0.989252271730171,1
"CA-31",1,"CC15",-0.199666106741938,0.999999999666929,1
"CA-32",1,"CC22",-0.139812684900102,0.999999999630331,1
"CA-33",1,"CC8",-0.0455073388500258,0.959106209001226,1
"CA-35",1,"CC15",-0.315070167065024,0.999999999570508,1
"CA-36",1,"CC15",0.28283877611483,0.999999999884952,1
"CA-38",1,"CC30",0.21623089883102,0.999999999829848,1
"CA-39",1,"CC15",0.357666674913461,0.999999999902437,1
"CA-40",1,"CC5",-0.0856213404155899,0.880010356257236,1
"CA-41",1,"CC15",0.28511744714209,0.999999999885528,1
"CA-42",1,"UD",0.144801235024235,0.99999999985283,1
"CA-43",1,"UD",0.360894380294808,0.999999999908576,1
"CA-45",1,"CC8",0.546719755423462,0.988567103787441,1
"CA-46",1,"CC121",0.0669927752073013,0.979361711873975,1
"CA-49",1,"CC121",0.120267214104923,0.981605218476287,1
"CA-5",1,"CC121",0.191652391926361,0.984239945895359,1
"CA-50",1,"CC1",0.157195524830859,0.999999999836442,1
"CA-52",1,"CC97",0.179861134365563,0.999999999711195,1
"CA-53",1,"CC121",-0.0772629180574642,0.971857893728405,1
"CA-54",1,"CC1",-0.186629241591402,0.999999999651148,1
"CA-55",1,"CC97",0.566103287816951,0.999999999876675,1
"CA-56",0,"CC8",0.357271243932592,0.982747358993043,1
"CA-57",1,"CC97",-0.313930831551394,0.999999999142839,1
"CA-59",1,"CC1",0.093691780746873,0.999999999811881,1
"CA-60",1,"CC1",-0.10820292086686,0.999999999706503,1
"CA-62",1,"CC97",0.0474757848577689,0.999999999613393,1
"CA-63",1,"CC1",0.0944035565124378,0.999999999812176,1
"CA-64",1,"CC97",0.346285676995316,0.999999999799843,1
"CA-66",1,"CC121",0.249560787631045,0.986101377593407,1
"CA-68",1,"CC121",0.415673928363363,0.99031969138819,1
"CA-7",1,"CC15",0.070470096395321,0.999999999816316,1
"CA-74",1,"CC8",-0.677366503181144,0.853581475683534,1
"CA-76",1,"CC121",-0.204579336679239,0.963082427076385,1
"CA-77",0,"CC121",-1.05150352573067,0.801482984926919,1
"CA-78",1,"CC8",-0.55393766539004,0.884412778476213,1
"CA-8",1,"CC121",-0.687123762634094,0.900101744793096,1
"CA-86",1,"CC5",6.20862164024856,0.999999870476403,1
"CA-87",0,"CC5",-0.611475344550159,0.697203626433048,1
"CA-88",1,"UD",-0.385768283557201,0.99999999952634,1
"CA-9",1,"CC97",-0.346464915502419,0.999999999079145,1
"CA-91",1,"CC22",0.212602819581544,0.999999999829932,1
"CA-92",1,"CC1",0.343784576041317,0.999999999891571,1
"CA-93",1,"CC22",-0.417106188791096,0.999999999319033,1
"CA-94",1,"CC8",-0.867793706349665,0.79305522077918,1
"CA-95",1,"UD",3.32392792037042,0.999999999999866,1
"CA-96",1,"CC15",-0.203333729089501,0.999999999664227,1
"Reference-1",1,"CC97",0.242905189934288,0.999999999748647,1
"Reference-2",1,"CC97",0.147013177073473,0.99999999968952,1
"Reference-3",1,"CC97",0.920911149732857,0.999999999943562,1
